year_b,next_team_slug,next_team_name,prior_team_slug,year_a,continuity_source,cache_path,matched_prior_team
2022,alpecin-deceuninck-2022,Alpecin - Deceuninck,alpecin-fenix-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/alpecin-deceuninck-2022.md,1
2022,b-b-hotels-ktm-2022,B&B Hotels - KTM,b-b-hotels-pb-ktm-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/b-b-hotels-ktm-2022.md,1
2022,bardiani-csf-faizane-2022,Bardiani-CSF-Faizanè,bardiani-csf-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bardiani-csf-faizane-2022.md,1
2022,bingoal-pauwels-sauzen-wb-2022,Bingoal Pauwels Sauces WB,bingoal-pauwels-sauzen-wb-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bingoal-pauwels-sauzen-wb-2022.md,1
2022,burgos-bh-2022,Burgos - BH,burgos-bh-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/burgos-bh-2022.md,1
2022,caja-rural-seguros-rga-2022,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/caja-rural-seguros-rga-2022.md,1
2022,drone-hopper-androni-giocattoli-2022,Drone Hopper - Androni Giocattoli,androni-giocattoli-sidermec-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/drone-hopper-androni-giocattoli-2022.md,1
2022,eolo-kometa-2022,EOLO-Kometa,eolo-kometa-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/eolo-kometa-2022.md,1
2022,equipo-kern-pharma-2022,Equipo Kern Pharma,equipo-kern-pharma-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/equipo-kern-pharma-2022.md,1
2022,euskaltel-euskadi-2022,Euskaltel - Euskadi,euskaltel-euskadi-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/euskaltel-euskadi-2022.md,1
2022,human-powered-health-2022,Human Powered Health,rally-cycling-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/human-powered-health-2022.md,1
2022,sport-vlaanderen-baloise-2022,Sport Vlaanderen - Baloise,sport-vlaanderen-baloise-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/sport-vlaanderen-baloise-2022.md,1
2022,team-arkea-samsic-2022,Team Arkéa Samsic,team-arkea-samsic-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-arkea-samsic-2022.md,1
2022,team-novo-nordisk-2022,Team Novo Nordisk,team-novo-nordisk-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-novo-nordisk-2022.md,1
2022,totalenergies-2022,TotalEnergies,totalenergies-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/totalenergies-2022.md,1
2022,uno-x-pro-cycling-team-2022,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2021,2021,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/uno-x-pro-cycling-team-2022.md,1
2023,bingoal-wb-2023,Bingoal WB,bingoal-pauwels-sauzen-wb-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bingoal-wb-2023.md,1
2023,bolton-equities-black-spoke-2023,Bolton Equities Black Spoke,bolton-equities-black-spoke-pro-cycling-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bolton-equities-black-spoke-2023.md,0
2023,burgos-bh-2023,Burgos - BH,burgos-bh-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/burgos-bh-2023.md,1
2023,caja-rural-seguros-rga-2023,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/caja-rural-seguros-rga-2023.md,1
2023,eolo-kometa-2023,EOLO-Kometa,eolo-kometa-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/eolo-kometa-2023.md,1
2023,equipo-kern-pharma-2023,Equipo Kern Pharma,equipo-kern-pharma-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/equipo-kern-pharma-2023.md,1
2023,euskaltel-euskadi-2023,Euskaltel - Euskadi,euskaltel-euskadi-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/euskaltel-euskadi-2023.md,1
2023,green-project-bardiani-csf-faizane-2023,Green Project - Bardiani CSF - Faizanè,bardiani-csf-faizane-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/green-project-bardiani-csf-faizane-2023.md,1
2023,human-powered-health-2023,Human Powered Health,human-powered-health-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/human-powered-health-2023.md,1
2023,israel-premier-tech-2023,Israel - Premier Tech,israel-premier-tech-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/israel-premier-tech-2023.md,0
2023,lotto-dstny-2023,Lotto Dstny,lotto-soudal-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/lotto-dstny-2023.md,0
2023,q365-pro-cycling-team-2023,Q36.5 Pro Cycling Team,,2022,,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/q365-pro-cycling-team-2023.md,0
2023,team-corratec-selle-italia-2023,Team Corratec - Selle Italia,team-corratec-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-corratec-selle-italia-2023.md,0
2023,team-flanders--baloise-2023,Team Flanders - Baloise,sport-vlaanderen-baloise-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-flanders--baloise-2023.md,1
2023,team-novo-nordisk-2023,Team Novo Nordisk,team-novo-nordisk-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-novo-nordisk-2023.md,1
2023,totalenergies-2023,TotalEnergies,totalenergies-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/totalenergies-2023.md,1
2023,tudor-pro-cycling-team-2023,Tudor Pro Cycling Team,tudor-pro-cycling-team-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/tudor-pro-cycling-team-2023.md,0
2023,uno-x-pro-cycling-team-2023,Uno-X Pro Cycling Team,uno-x-pro-cycling-team-2022,2022,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/uno-x-pro-cycling-team-2023.md,1
2024,bingoal-wb-2024,Bingoal WB,bingoal-wb-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/bingoal-wb-2024.md,1
2024,burgos-bh-2024,Burgos - BH,burgos-bh-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/burgos-bh-2024.md,1
2024,caja-rural-seguros-rga-2024,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/caja-rural-seguros-rga-2024.md,1
2024,equipo-kern-pharma-2024,Equipo Kern Pharma,equipo-kern-pharma-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/equipo-kern-pharma-2024.md,1
2024,euskaltel-euskadi-2024,Euskaltel - Euskadi,euskaltel-euskadi-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/euskaltel-euskadi-2024.md,1
2024,israel-premier-tech-2024,Israel - Premier Tech,israel-premier-tech-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/israel-premier-tech-2024.md,1
2024,lotto-dstny-2024,Lotto Dstny,lotto-dstny-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/lotto-dstny-2024.md,1
2024,q365-pro-cycling-team-2024,Q36.5 Pro Cycling Team,q365-pro-cycling-team-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/q365-pro-cycling-team-2024.md,1
2024,tdt-unibet-2024,TDT - Unibet Cycling Team,tdt-unibet-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/tdt-unibet-2024.md,0
2024,team-corratec-vini-fantini-2024,Team Corratec - Vini Fantini,team-corratec-selle-italia-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-corratec-vini-fantini-2024.md,1
2024,team-flanders-baloise-2024,Team Flanders - Baloise,team-flanders--baloise-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-flanders-baloise-2024.md,1
2024,team-novo-nordisk-2024,Team Novo Nordisk,team-novo-nordisk-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-novo-nordisk-2024.md,1
2024,team-polti-kometa-2024,Team Polti Kometa,eolo-kometa-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-polti-kometa-2024.md,1
2024,totalenergies-2024,TotalEnergies,totalenergies-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/totalenergies-2024.md,1
2024,tudor-pro-cycling-team-2024,Tudor Pro Cycling Team,tudor-pro-cycling-team-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/tudor-pro-cycling-team-2024.md,1
2024,uno-x-mobility-2024,Uno-X Mobility,uno-x-pro-cycling-team-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/uno-x-mobility-2024.md,1
2024,vf-group-bardiani-csf-faizane-2024,VF Group - Bardiani CSF - Faizanè,green-project-bardiani-csf-faizane-2023,2023,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/vf-group-bardiani-csf-faizane-2024.md,1
2025,burgos-burpellet-bh-2025,Burgos Burpellet BH,burgos-bh-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/burgos-burpellet-bh-2025.md,1
2025,caja-rural-seguros-rga-2025,Caja Rural - Seguros RGA,caja-rural-seguros-rga-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/caja-rural-seguros-rga-2025.md,1
2025,equipo-kern-pharma-2025,Equipo Kern Pharma,equipo-kern-pharma-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/equipo-kern-pharma-2025.md,1
2025,euskaltel-euskadi-2025,Euskaltel - Euskadi,euskaltel-euskadi-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/euskaltel-euskadi-2025.md,1
2025,israel-premier-tech-2025,Israel - Premier Tech,israel-premier-tech-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/israel-premier-tech-2025.md,1
2025,lotto-2025,Lotto,lotto-dstny-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/lotto-2025.md,1
2025,q365-pro-cycling-team-2025,Q36.5 Pro Cycling Team,q365-pro-cycling-team-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/q365-pro-cycling-team-2025.md,1
2025,team-flanders-baloise-2025,Team Flanders - Baloise,team-flanders-baloise-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-flanders-baloise-2025.md,1
2025,team-novo-nordisk-2025,Team Novo Nordisk,team-novo-nordisk-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-novo-nordisk-2025.md,1
2025,team-polti-visitmalta-2025,Team Polti VisitMalta,team-polti-kometa-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-polti-visitmalta-2025.md,1
2025,team-solution-tech-vini-fantini-2025,Team Solution Tech - Vini Fantini,team-corratec-vini-fantini-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/team-solution-tech-vini-fantini-2025.md,1
2025,totalenergies-2025,TotalEnergies,totalenergies-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/totalenergies-2025.md,1
2025,tudor-pro-cycling-team-2025,Tudor Pro Cycling Team,tudor-pro-cycling-team-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/tudor-pro-cycling-team-2025.md,1
2025,unibet-tietema-rockets-2025,Unibet Tietema Rockets,tdt-unibet-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/unibet-tietema-rockets-2025.md,1
2025,uno-x-mobility-2025,Uno-X Mobility,uno-x-mobility-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/uno-x-mobility-2025.md,1
2025,vf-group-bardiani-csf-faizane-2025,VF Group - Bardiani CSF - Faizanè,vf-group-bardiani-csf-faizane-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/vf-group-bardiani-csf-faizane-2025.md,1
2025,wagner-bazin-wb-2025,Wagner Bazin WB,bingoal-wb-2024,2024,pcs_prev_link,/Volumes/Developer/Developer/procycling-clean-scraped-data/raw_data/historical_proteam_panel/points_source/wagner-bazin-wb-2025.md,1
